,LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,AboveMedianPrice
0,8450,7,5,856,2,1,3,8,0,548,1
1,9600,6,8,1262,2,0,3,6,1,460,1
2,11250,7,5,920,2,1,3,6,1,608,1
3,9550,7,5,756,1,0,3,7,1,642,0
4,14260,8,5,1145,2,1,4,9,1,836,1
5,14115,5,5,796,1,1,1,5,0,480,0
6,10084,8,5,1686,2,0,3,7,1,636,1
7,10382,7,6,1107,2,1,3,7,2,484,1
8,6120,7,5,952,2,0,2,8,2,468,0
9,7420,5,6,991,1,0,2,5,2,205,0
10,11200,5,5,1040,1,0,3,5,0,384,0
11,11924,9,5,1175,3,0,4,11,2,736,1
12,12968,5,6,912,1,0,2,4,0,352,0
13,10652,7,5,1494,2,0,3,7,1,840,1
14,10920,6,5,1253,1,1,2,5,1,352,0
15,6120,7,8,832,1,0,2,5,0,576,0
16,11241,6,7,1004,1,0,2,5,1,480,0
17,10791,4,5,0,2,0,2,6,0,516,0
18,13695,5,5,1114,1,1,3,6,0,576,0
19,7560,5,6,1029,1,0,3,6,0,294,0
20,14215,8,5,1158,3,1,4,9,1,853,1
21,7449,7,7,637,1,0,3,6,1,280,0
22,9742,8,5,1777,2,0,3,7,1,534,1
23,4224,5,7,1040,1,0,3,6,1,572,0
24,8246,5,8,1060,1,0,3,6,1,270,0
25,14230,8,5,1566,2,0,3,7,1,890,1
26,7200,5,7,900,1,0,3,5,0,576,0
27,11478,8,5,1704,2,0,3,7,1,772,1
28,16321,5,6,1484,1,0,2,6,2,319,1
29,6324,4,6,520,1,0,1,4,0,240,0
30,8500,4,4,649,1,0,3,6,0,250,0
31,8544,5,6,1228,1,1,3,6,0,271,0
32,11049,8,5,1234,2,0,3,7,0,484,1
33,10552,5,5,1398,1,1,4,6,1,447,1
34,7313,9,5,1561,2,0,2,6,1,556,1
35,13418,8,5,1117,3,1,4,9,1,691,1
36,10859,5,5,1097,1,1,3,6,0,672,0
37,8532,5,6,1297,1,0,3,5,1,498,0
38,7922,5,7,1057,1,0,3,5,0,246,0
39,6040,4,5,0,2,0,2,6,0,0,0
40,8658,6,5,1088,2,0,3,6,1,440,0
41,16905,5,6,1350,1,1,2,5,2,308,1
42,9180,5,7,840,1,0,2,5,0,504,0
43,9200,5,6,938,1,0,3,5,0,308,0
44,7945,5,6,1150,1,0,3,6,0,300,0
45,7658,9,5,1752,2,0,2,6,1,576,1
46,12822,7,5,1434,1,1,1,6,1,670,1
47,11096,8,5,1656,2,0,3,7,0,826,1
48,4456,4,5,736,2,0,2,8,0,0,0
49,7742,5,7,955,1,0,3,6,0,386,0
50,13869,6,6,794,2,0,3,6,0,388,1
51,6240,6,6,816,1,0,3,6,1,528,0
52,8472,5,5,816,1,0,2,5,0,516,0
53,50271,9,5,1842,0,1,0,5,1,894,1
54,7134,5,5,384,1,0,3,6,1,572,0
55,10175,6,5,1425,2,0,3,7,1,576,1
56,2645,8,5,970,2,1,3,7,0,480,1
